Country or territory,Population(1 July 2022),Population(1 July 2023),Change(%),UN continentalregion[1],UN statisticalsubregion[1],,Country / dependency,Totalin km2 (mi2),Landin km2 (mi2),Waterin km2 (mi2),%water,
Iceland,"380,356","387,558",+1.89%,Europe,Northern Europe,106,Iceland,"103,000 (39,800)","100,830 (38,931)","2,170 (838)",2.1,
Vanuatu,"313,046","320,409",+2.35%,Oceania,Melanesia,157,Vanuatu,"12,189 (4,706)","12,189 (4,706)",0,0,
New Caledonia (France),"287,123","289,870",+0.96%,Oceania,Melanesia,–,New Caledonia (France),"18,575 (7,172)","18,275 (7,056)",300 (100),1.6,[q]
Barbados,"288,318","282,336",−2.07%,Americas,Caribbean,183,Barbados,431 (166),431 (166),0,0,
French Polynesia (France),"280,378","281,118",+0.26%,Oceania,Polynesia,–,French Polynesia (France),"4,167 (1,609)","3,827 (1,478)",340 (130),8.2,[q]
São Tomé and Príncipe,"226,305","230,871",+2.02%,Africa,Middle Africa,171,São Tomé and Príncipe,964 (372),964 (372),0,0,
Samoa,"215,261","216,663",+0.65%,Oceania,Polynesia,167,Samoa,"2,842 (1,097)","2,780 (1,070)",10 (4),0.4,
Curaçao (Netherlands),"185,345","185,427",+0.04%,Americas,Caribbean,–,Curaçao (Netherlands),444 (171),444 (171),0,0,[cl]
Saint Lucia,"178,781","179,285",+0.28%,Americas,Caribbean,178,Saint Lucia,616 (238),610 (240),10 (4),1.6,
Kiribati,"130,469","132,530",+1.58%,Oceania,Micronesia,172,Kiribati,811 (313),811 (313),0,0,[cg]
Seychelles,"125,522","127,951",+1.94%,Africa,Eastern Africa,181,Seychelles,457 (176),457 (176),0,0,[ck]
Grenada,"116,913","117,081",+0.14%,Americas,Caribbean,185,Grenada,345 (133),340 (130),0,0,
Micronesia,"112,114","112,630",+0.46%,Oceania,Micronesia,177,Micronesia,702 (271),700 (270),0,0,
Tonga,"105,042","104,597",−0.42%,Oceania,Polynesia,175,Tonga,747 (288),720 (280),30 (10),4.0,
Aruba (Netherlands),"107,782","107,939",+0.15%,Americas,Caribbean,–,Aruba (Netherlands),180 (69),180 (69),0,0,[cl]
Saint Vincent and the Grenadines,"102,046","101,323",−0.71%,Americas,Caribbean,184,Saint Vincent and the Grenadines,389 (150),389 (150),0,0,
Antigua and Barbuda,"92,840","93,316",+0.51%,Americas,Caribbean,182,Antigua and Barbuda,442 (171),442 (171),0,0,
Andorra,"79,705","80,856",+1.44%,Europe,Southern Europe,179,Andorra,468 (181),468 (181),0,0,[cj]
Dominica,"66,826","66,510",−0.47%,Americas,Caribbean,174,Dominica,750 (290),750 (290),0,0,
Greenland (Denmark),"54,990","55,922",+1.69%,Americas,Northern America,–,Greenland (Denmark),"2,166,086 (836,330)","2,166,086 (836,330)",0,0,[p]
Faroe Islands (Denmark),"54,011","54,714",+1.30%,Europe,Northern Europe,–,Faroe Islands (Denmark),"1,393 (538)","1,393 (538)",0,0,[q]
Saint Kitts and Nevis,"46,709","46,758",+0.10%,Americas,Caribbean,188,Saint Kitts and Nevis,261 (101),261 (101),0,0,[cp]
Sint Maarten (Netherlands),"42,139","42,749",+1.45%,Americas,Caribbean,–,Sint Maarten (Netherlands),34 (13),34 (13),0,0,[cl]
Liechtenstein,"39,317","39,598",+0.71%,Europe,Western Europe,190,Liechtenstein,160 (62),160 (62),0,0,[cu]
Monaco,"38,931","38,956",+0.06%,Europe,Western Europe,194,Monaco,2.0 (0.77),2.0 (0.77),0,0,[dc]
Marshall Islands,"40,077","38,827",−3.12%,Oceania,Micronesia,189,Marshall Islands,181 (70),180 (69),0,0,
